Date,Account,Payee,Category,Memo,Amount
2025-01-02,FREE CHECKING,Transfer : 360 Performance Savings - 360 Performance Savings,Uncategorized,,-100.0
2025-01-02,Capital One,Waste Connections,Trash,,-98.8
2025-01-02,Capital One,Gent Cuts and Grooming,Haircuts/Grooming,,-47.15
2025-01-02,Capital One,Aldi,Groceries,,-45.28
2025-01-02,Capital One,Coborn's Gas,Gas,,-32.28
2025-01-02,FREE CHECKING,Transfer : Capital One,Uncategorized,,-18.0
2025-01-02,Capital One,Cafe Zupa,Eating Out / Takeout,,-16.57
2025-01-02,Capital One,Cafe Zupa,Eating Out / Takeout,,-14.1
2025-01-02,Capital One,Mediacom,Internet,,-11.29
2025-01-02,Capital One,Transfer : FREE CHECKING,Uncategorized,,18.0
2025-01-02,360 Performance Savings - 360 Performance Savings,Transfer : FREE CHECKING,Uncategorized,,100.0
2025-01-03,Capital One,River Valley Church,Tithe,,-767.0
2025-01-03,FREE CHECKING,CP Energy,Gas - CPEnergy,,-639.92
2025-01-03,FREE CHECKING,Transfer : Capital One,Uncategorized,,-265.47
2025-01-03,FREE CHECKING,Check #1695,Pet Expenses,,-91.04
2025-01-03,Capital One,Transfer : FREE CHECKING,Uncategorized,,265.47
2025-01-03,FREE CHECKING,External Deposit - N8342 FLY FOR GO 208843589 - DIR DEP,Inflow: Ready to Assign,,1500.47
2025-01-06,Capital One,Amazon Prime,Yearly Subscriptions,,-150.64
2025-01-06,Capital One,VE BLOOMINGTON,Rock Climbing Membership,,-119.93
2025-01-06,Capital One,CITY OF BELLE PLAINE UTI,Water,,-65.19
2025-01-06,Capital One,Asymmetric Publishing,Seth Spending,,-20.0
2025-01-06,FREE CHECKING,New York Life Insurance,Meagan's Life Insurance,,-16.0
2025-01-06,Capital One,Culver's,Eating Out / Takeout,,-15.8
2025-01-06,Capital One,Massage Envy,Meagan Spending,,-15.0
2025-01-06,Capital One,CK HOLIDAY # 06339,Gas,,-12.0
2025-01-06,Capital One,CITY OF BELLE PLAINE UTI,Water,,-4.42
2025-01-07,FREE CHECKING,Transfer : Capital One,Uncategorized,,-767.0
2025-01-07,FREE CHECKING,Transfer : Capital One,Uncategorized,,-402.98
2025-01-07,Capital One,The Home Depot,Household items,,-49.2
2025-01-07,Capital One,Transfer : FREE CHECKING,Uncategorized,,402.98
2025-01-07,Capital One,Transfer : FREE CHECKING,Uncategorized,,767.0
2025-01-08,FREE CHECKING,External Withdrawal - JPMORGAN CHASE JPMORGAN CHASE ACH - CHASE ACH,Rent/Mortgage,,-1253.85
2025-01-08,Capital One,Coborn's Gas,Gas,,-31.47
2025-01-09,Capital One,Amazon,Meagan Spending,,-5.98
2025-01-10,FREE CHECKING,Transfer : Capital One,Uncategorized,,-80.67
2025-01-10,Capital One,Transfer : FREE CHECKING,Uncategorized,,80.67
2025-01-11,Capital One,Amazon,Pet Expenses,,-71.53
2025-01-11,Capital One,Aldi,Groceries,,-41.99
2025-01-13,FREE CHECKING,Transfer : Capital One,Uncategorized,,-119.5
2025-01-13,Capital One,Amazon Return,Household items,Meagan bought stuff,-20.63
2025-01-13,Capital One,Transfer : FREE CHECKING,Uncategorized,,119.5
2025-01-13,SOLIFI 401k,Starting Balance,Uncategorized,,42368.99
2025-01-14,Capital One,Sam's Club,Groceries,,-141.53
2025-01-14,Capital One,Massage Envy,Meagan Spending,,-87.22
2025-01-14,Capital One,Amazon,Groceries,,-32.09
2025-01-14,Capital One,The Home Depot,Household items,,-18.38
2025-01-15,FREE CHECKING,Transfer : Capital One,Uncategorized,,-299.85
2025-01-15,Capital One,Transfer : FREE CHECKING,Uncategorized,,299.85
2025-01-15,SOLIFI 401k,Contribution,Uncategorized,,481.16
2025-01-15,FREE CHECKING,External Deposit - INTERNATIONAL DE 304254681 57 - DIRECT DEP,Inflow: Ready to Assign,,2488.77
2025-01-16,Capital One,Aldi,Groceries,,-29.17
2025-01-16,Capital One,Crisp & Green,Meagan Spending,,-14.12
2025-01-16,Capital One,Amazon,Household items,,-12.74
2025-01-16,Capital One,Sam's Club,Groceries,,12.86
2025-01-17,Capital One,The Home Depot,Home Maintenance,,-117.05
2025-01-17,Capital One,State Farm Insurance,State Farm Insurance,,-116.54
2025-01-17,Capital One,Amazon,Seth Spending,Bass repair,-82.34
2025-01-17,Capital One,Amazon,Household items,Thermometer,-8.87
2025-01-17,Capital One,Sam's Club,Groceries,,8.74
2025-01-17,FREE CHECKING,External Deposit - N8342 FLY FOR GO 208843589 - DIR DEP,Inflow: Ready to Assign,,1500.47
2025-01-20,Capital One,Domino's Pizza,Eating Out / Takeout,,-15.02
2025-01-21,FREE CHECKING,Transfer : Capital One,Uncategorized,,-359.23
2025-01-21,FREE CHECKING,Venmo,Cellphone,,-252.0
2025-01-21,FREE CHECKING,Xcel Energy,Electric - XCEL,,-83.11
2025-01-21,FREE CHECKING,Venmo,Cellphone,,-30.0
2025-01-21,Capital One,Transfer : FREE CHECKING,Uncategorized,,359.23
2025-01-22,FREE CHECKING,External Withdrawal - JPMORGAN CHASE JPMORGAN CHASE ACH - CHASE ACH,Rent/Mortgage,,-1253.86
2025-01-22,FREE CHECKING,External Withdrawal - 466 MODERATE S 466 - INVESTMENT,Mutual Fund Investment,,-100.0
2025-01-22,Capital One,Coborn's Gas,Gas,,-35.22
2025-01-22,FREE CHECKING,Driver Services,Auto Maintenance,,-20.25
2025-01-22,FREE CHECKING,Transfer : Capital One,Uncategorized,,-15.02
2025-01-22,Capital One,Transfer : FREE CHECKING,Uncategorized,,15.02
2025-01-23,FREE CHECKING,Department of Education,Meagans Loan Payments,,-254.51
2025-01-24,Capital One,Sam's Club,Split,,-100.78
2025-01-24,Capital One,Menards,Home Maintenance,,-18.64
2025-01-24,FREE CHECKING,Spotify,Spotify,,-12.99
2025-01-25,FREE CHECKING,Transfer : Capital One,Uncategorized,,-154.64
2025-01-25,Capital One,Transfer : FREE CHECKING,Uncategorized,,154.64
2025-01-27,Capital One,Amazon,Split,,-68.29
2025-01-27,Capital One,Ritual,Meagan Spending,,-29.59
2025-01-27,Capital One,Riverview Coffee,Eating Out / Takeout,,-22.15
2025-01-27,Capital One,Kwik Trip,Meagan Spending,,-3.57
2025-01-28,FREE CHECKING,Transfer : Capital One,Uncategorized,,-123.6
2025-01-28,Capital One,Transfer : FREE CHECKING,Uncategorized,,123.6
2025-01-29,Capital One,Amazon,Meagan Spending,,-38.0
2025-01-30,Capital One,Steam,Seth Spending,,-32.5
2025-01-30,Capital One,Nayax Parking,Parking,,-24.0
2025-01-30,Capital One,McDonald's,Eating Out / Takeout,,-21.44
2025-01-30,Capital One,Good Boy,Eating Out / Takeout,,-20.84
2025-01-31,FREE CHECKING,Transfer : Capital One,Uncategorized,,-136.78
2025-01-31,Capital One,Coborn's Gas,Gas,,-39.2
2025-01-31,360 Performance Savings - 360 Performance Savings,Monthly Interest,HYSA,,63.66
2025-01-31,Capital One,Transfer : FREE CHECKING,Uncategorized,,136.78
2025-01-31,SOLIFI 401k,Contribution,Uncategorized,,370.13
2025-01-31,FREE CHECKING,External Deposit - N8342 FLY FOR GO 208843589 - DIR DEP,Inflow: Ready to Assign,,1500.47
2025-01-31,FREE CHECKING,External Deposit - INTERNATIONAL DE 304254681 57 - DIRECT DEP,Inflow: Ready to Assign,,2567.83
2025-02-01,Capital One,Coborn's,Gas,,-42.82
2025-02-03,Capital One,River Valley Church,Tithe,,-767.0
2025-02-03,Capital One,Sam's Club,Groceries,,-160.01
2025-02-03,FREE CHECKING,Transfer : 360 Performance Savings - 360 Performance Savings,Uncategorized,,-100.0
2025-02-03,Capital One,AT&T,Cellphone,,-85.25
2025-02-03,Capital One,Pela Case,Cellphone,,-70.45
2025-02-03,Capital One,Aldi,Groceries,,-55.08
2025-02-03,Capital One,Massage Envy,Meagan Spending,,-20.0
2025-02-03,Capital One,Culver's,Eating Out / Takeout,,-15.15
2025-02-03,360 Performance Savings - 360 Performance Savings,Transfer : FREE CHECKING,Uncategorized,,100.0
2025-02-03,Seth ROTH IRA,Starting Balance,Uncategorized,,267.58
2025-02-04,FREE CHECKING,Transfer : Capital One,Uncategorized,,-1172.94
2025-02-04,FREE CHECKING,CP Energy,Gas - CPEnergy,,-639.92
2025-02-04,Capital One,AT&T DEVICE/EQUIP SHIP,Cellphone,,-87.94
2025-02-04,FREE CHECKING,Transfer : Capital One,Uncategorized,,-82.02
2025-02-04,FREE CHECKING,Target,Gifts - Birthdays/Anniversaries/Weddings/Showers Etc.,,-20.64
2025-02-04,Capital One,Amazon,Cellphone,Screen protector,-11.78
2025-02-04,Capital One,Amazon,Cellphone,,-9.74
2025-02-04,Capital One,Transfer : FREE CHECKING,Uncategorized,,82.02
2025-02-04,Capital One,Transfer : FREE CHECKING,Uncategorized,,1172.94
2025-02-05,FREE CHECKING,External Withdrawal - JPMORGAN CHASE JPMORGAN CHASE ACH - CHASE ACH,Rent/Mortgage,,-1253.85
2025-02-05,Capital One,Coborn's Gas,Gas,,-34.9
2025-02-05,Capital One,Dollar General,Household items,Mascara and deoderant,-19.05
2025-02-06,Capital One,VE BLOOMINGTON,Rock Climbing Membership,,-119.93
2025-02-06,FREE CHECKING,Transfer : Capital One,Uncategorized,,-109.46
2025-02-06,Capital One,CITY OF BELLE PLAINE UTI,Water,,-87.65
2025-02-06,FREE CHECKING,New York Life Insurance,Meagan's Life Insurance,,-16.0
2025-02-06,Capital One,CITY OF BELLE PLAINE UTI,Water,,-4.82
2025-02-06,Capital One,Transfer : FREE CHECKING,Uncategorized,,109.46
2025-02-07,FREE CHECKING,Transfer : Capital One,Uncategorized,,-212.4
2025-02-07,FREE CHECKING,MetroNet,Internet,,-67.9
2025-02-07,FREE CHECKING,Transfer : Capital One,Uncategorized,,-53.95
2025-02-07,SOLIFI 401k,Recordkeeping Fee,Uncategorized,,-11.11
2025-02-07,SOLIFI 401k,Realized Gain/Loss,Uncategorized,,2.0
2025-02-07,FREE CHECKING,External Deposit - International De - Payment,Inflow: Ready to Assign,,24.0
2025-02-07,Capital One,Transfer : FREE CHECKING,Uncategorized,,53.95
2025-02-07,Capital One,Transfer : FREE CHECKING,Uncategorized,,212.4
2025-02-08,Capital One,Prose,Meagan Spending,,-45.13
2025-02-10,Capital One,Amazon,Amazon,,-70.43
2025-02-10,FREE CHECKING,Target,Split,,-38.41
2025-02-10,Capital One,Culver's,Eating Out / Takeout,,-15.8
2025-02-11,Capital One,Amazon,Pet Expenses,,-71.53
2025-02-11,Capital One,Old Navy,Meagan Spending,,-55.98
2025-02-11,FREE CHECKING,Transfer : Capital One,Uncategorized,,-45.13
2025-02-11,Capital One,Coborn's Gas,Gas,,-39.01
2025-02-11,Capital One,Transfer : FREE CHECKING,Uncategorized,,45.13
2025-02-11,SOLIFI 401k,Contribution,Uncategorized,,271.52
2025-02-12,FREE CHECKING,Transfer : Capital One,Uncategorized,,-166.52
2025-02-12,FREE CHECKING,Transfer : Capital One,Uncategorized,,-86.23
2025-02-12,Capital One,Steam,Seth Spending,,-5.07
2025-02-12,Capital One,Transfer : FREE CHECKING,Uncategorized,,86.23
2025-02-12,Capital One,Transfer : FREE CHECKING,Uncategorized,,166.52
2025-02-13,Capital One,Jordan Supper Club,Eating Out / Takeout,,-69.51
2025-02-13,Capital One,Dollar General,Groceries,,-6.5
2025-02-14,Capital One,Massage Envy,Meagan Spending,,-87.22
2025-02-14,FREE CHECKING,Transfer : Capital One,Uncategorized,,-76.01
2025-02-14,Capital One,Sam's Club,Groceries,,-63.93
2025-02-14,FREE CHECKING,Transfer : Capital One,Uncategorized,,-5.07
2025-02-14,Capital One,Transfer : FREE CHECKING,Uncategorized,,5.07
2025-02-14,Capital One,Transfer : FREE CHECKING,Uncategorized,,76.01
2025-02-14,SOLIFI 401k,Contribution,Uncategorized,,370.13
2025-02-14,FREE CHECKING,External Deposit - N8342 FLY FOR GO 208843589 - DIR DEP,Inflow: Ready to Assign,,1500.47
2025-02-14,FREE CHECKING,External Deposit - INTERNATIONAL DE 304254681 57 - DIRECT DEP,Inflow: Ready to Assign,,2567.84
2025-02-15,FREE CHECKING,Transfer : Capital One,Uncategorized,,-151.15
2025-02-15,Capital One,Transfer : FREE CHECKING,Uncategorized,,151.15
2025-02-17,Capital One,Target,Medical,Glasses ,-262.74
2025-02-17,Capital One,Coborn's Gas,Gas,,-35.65
2025-02-17,Capital One,The Buttered Tin,Eating Out / Takeout,,-27.25
2025-02-18,FREE CHECKING,Transfer : Seth ROTH IRA,Inflow: Ready to Assign,,-133.24
2025-02-18,FREE CHECKING,Target,Groceries,,-14.51
2025-02-18,FREE CHECKING,External Deposit - TARGET DEBIT CRD 001 - ACH TRAN 123 TARGET -0260Minneapolis,Inflow: Ready to Assign,,7.2
2025-02-18,Seth ROTH IRA,Transfer : FREE CHECKING,Uncategorized,,133.24
2025-02-19,FREE CHECKING,External Withdrawal - JPMORGAN CHASE JPMORGAN CHASE ACH - CHASE ACH,Rent/Mortgage,,-1253.86
2025-02-19,FREE CHECKING,Transfer : Capital One,Uncategorized,,-325.64
2025-02-19,Capital One,State Farm Insurance,State Farm Insurance,,-116.54
2025-02-19,FREE CHECKING,Venmo,Seth Spending,,250.0
2025-02-19,Capital One,Transfer : FREE CHECKING,Uncategorized,,325.64
2025-02-20,FREE CHECKING,Transfer : Capital One,Uncategorized,,-116.54
2025-02-20,FREE CHECKING,Xcel Energy,Electric - XCEL,,-62.4
2025-02-20,Capital One,Coborn's,Alchohol,,-15.36
2025-02-20,Capital One,Transfer : FREE CHECKING,Uncategorized,,116.54
2025-02-21,FREE CHECKING,External Withdrawal - 466 MODERATE S 466 - INVESTMENT,Mutual Fund Investment,,-100.0
2025-02-22,Capital One,Northstar Tavern,Eating Out / Takeout,,-20.04
2025-02-22,FREE CHECKING,Transfer : Capital One,Uncategorized,,-15.36
2025-02-22,Capital One,Transfer : FREE CHECKING,Uncategorized,,15.36
2025-02-24,FREE CHECKING,Department of Education,Meagans Loan Payments,,-254.51
2025-02-24,Capital One,Aldi,Groceries,,-113.34
2025-02-24,Capital One,Ritual,Meagan Spending,,-42.27
2025-02-24,Capital One,Coborn's Gas,Gas,,-36.16
2025-02-24,FREE CHECKING,Spotify,Spotify,,-12.99
