Date,Account,Payee,Category,Memo,Amount
2025-02-24,Capital One,Coborn's,Groceries,,-11.67
2025-02-24,Capital One,Culver's,Eating Out / Takeout,,-7.9
2025-02-25,FREE CHECKING,Transfer : Capital One,Uncategorized,,-211.34
2025-02-25,FREE CHECKING,Transfer : Capital One,Uncategorized,,-20.04
2025-02-25,FREE CHECKING,Venmo,Seth Spending,,-1.6
2025-02-25,Capital One,Transfer : FREE CHECKING,Uncategorized,,20.04
2025-02-25,Capital One,Transfer : FREE CHECKING,Uncategorized,,211.34
2025-02-26,Capital One,Buck Hill,Seth Spending,,-80.02
2025-02-26,Capital One,Buck 54 Bar & Grill,Eating Out / Takeout,,-26.3
2025-02-27,FREE CHECKING,Transfer : Capital One,Uncategorized,,-106.32
2025-02-27,Capital One,Transfer : FREE CHECKING,Uncategorized,,106.32
2025-02-28,Capital One,McDonald's,Eating Out / Takeout,,-21.6
2025-02-28,360 Performance Savings - 360 Performance Savings,Monthly Interest,HYSA,,56.72
2025-02-28,SOLIFI 401k,Contribution,Uncategorized,,170.82
2025-02-28,FREE CHECKING,External Deposit - INTERNATIONAL DE 304254681 57 - DIRECT DEP,Inflow: Ready to Assign,,1021.41
2025-02-28,FREE CHECKING,External Deposit - N8342 FLY FOR GO 208843589 - DIR DEP,Inflow: Ready to Assign,,1500.47
2025-03-01,FREE CHECKING,Transfer : Capital One,Uncategorized,,-21.6
2025-03-01,Capital One,Transfer : FREE CHECKING,Uncategorized,,21.6
2025-03-03,Capital One,River Valley Church,Tithe,,-300.0
2025-03-03,FREE CHECKING,Venmo,Cellphone,,-200.0
2025-03-03,FREE CHECKING,Transfer : Seth ROTH IRA,Inflow: Ready to Assign,,-133.24
2025-03-03,FREE CHECKING,Transfer : 360 Performance Savings - 360 Performance Savings,Uncategorized,,-100.0
2025-03-03,Capital One,Fleet Farm Fuel,Gas,,-45.43
2025-03-03,Capital One,Empire Wok,Eating Out / Takeout,,-28.53
2025-03-03,360 Performance Savings - 360 Performance Savings,Transfer : FREE CHECKING,Uncategorized,,100.0
2025-03-03,Seth ROTH IRA,Transfer : FREE CHECKING,Uncategorized,,133.24
2025-03-04,FREE CHECKING,CP Energy,Gas - CPEnergy,,-639.74
2025-03-05,FREE CHECKING,External Withdrawal - JPMORGAN CHASE JPMORGAN CHASE ACH - CHASE ACH,Rent/Mortgage,,-1253.85
2025-03-05,Capital One,Sam's Club,Split,,-177.15
2025-03-05,Capital One,Gent Cuts and Grooming,Haircuts/Grooming,,-64.25
2025-03-05,Capital One,Walmart,Split,,-38.84
2025-03-05,FREE CHECKING,Target,Split,,-15.86
2025-03-05,Capital One,Steam,Seth Spending,,-8.66
2025-03-06,FREE CHECKING,Transfer : Capital One,Uncategorized,,-373.96
2025-03-06,Capital One,VE BLOOMINGTON,Rock Climbing Membership,,-119.93
2025-03-06,Capital One,CITY OF BELLE PLAINE UTI,Water,,-87.65
2025-03-06,FREE CHECKING,New York Life Insurance,Meagan's Life Insurance,,-16.0
2025-03-06,Capital One,CITY OF BELLE PLAINE UTI,Water,,-4.82
2025-03-06,Capital One,Transfer : FREE CHECKING,Uncategorized,,373.96
2025-03-07,FREE CHECKING,Transfer : Capital One,Uncategorized,,-288.9
2025-03-07,Capital One,Transfer : FREE CHECKING,Uncategorized,,288.9
2025-03-10,Capital One,RUBY`S FAMILY RESTAURANT,Eating Out / Takeout,,-55.08
2025-03-10,Capital One,Massage Envy,Meagan Spending,,-20.0
2025-03-11,FREE CHECKING,Transfer : Capital One,Uncategorized,,-212.4
2025-03-11,Capital One,Amazon,Pet Expenses,,-71.53
2025-03-11,FREE CHECKING,MetroNet,Internet,,-67.9
2025-03-11,Capital One,Aldi,Groceries,,-49.04
2025-03-11,Capital One,Google,Meagan Spending,,-2.93
2025-03-11,Capital One,Transfer : FREE CHECKING,Uncategorized,,212.4
2025-03-12,FREE CHECKING,Transfer : Capital One,Uncategorized,,-75.08
2025-03-12,Capital One,Coborn's Gas,Gas,,-32.94
2025-03-12,Capital One,Transfer : FREE CHECKING,Uncategorized,,75.08
2025-03-13,FREE CHECKING,Transfer : Capital One,Uncategorized,,-123.5
2025-03-13,Capital One,Jersey Mike's,Eating Out / Takeout,,-19.58
2025-03-13,Capital One,Transfer : FREE CHECKING,Uncategorized,,123.5
2025-03-14,FREE CHECKING,Transfer : 360 Performance Savings - 360 Performance Savings,Uncategorized,,-5000.0
2025-03-14,Capital One,Massage Envy,Meagan Spending,,-87.22
2025-03-14,FREE CHECKING,External Deposit - N8342 FLY FOR GO 208843589 - DIR DEP,Inflow: Ready to Assign,,1449.89
2025-03-14,360 Performance Savings - 360 Performance Savings,Transfer : FREE CHECKING,Uncategorized,,5000.0
2025-03-14,FREE CHECKING,External Deposit - INTERNATIONAL DE 304254681 57 - DIRECT DEP,Inflow: Ready to Assign,,9615.0
2025-03-15,Capital One,Coborn's,Alchohol,,-52.71
2025-03-15,FREE CHECKING,Transfer : Capital One,Uncategorized,,-52.52
2025-03-15,Capital One,Coborn's,Groceries,,-24.56
2025-03-15,Capital One,Transfer : FREE CHECKING,Uncategorized,,52.52
2025-03-17,FREE CHECKING,Transfer : Capital One,Uncategorized,,-164.49
2025-03-17,FREE CHECKING,Transfer : Seth ROTH IRA,Inflow: Ready to Assign,,-133.24
2025-03-17,Capital One,Fleet Farm,Home Maintenance,,-54.15
2025-03-17,Capital One,Fleet Farm Fuel,Gas,,-28.59
2025-03-17,Capital One,Schram Haus Brewery,Eating Out / Takeout,,-20.99
2025-03-17,Capital One,Schram Haus Brewery,Eating Out / Takeout,,-16.09
2025-03-17,Seth ROTH IRA,Transfer : FREE CHECKING,Uncategorized,,133.24
2025-03-17,Capital One,Transfer : FREE CHECKING,Uncategorized,,164.49
2025-03-19,FREE CHECKING,Transfer : 360 Performance Savings - 360 Performance Savings,Uncategorized,,-5000.0
2025-03-19,FREE CHECKING,External Withdrawal - JPMORGAN CHASE JPMORGAN CHASE ACH - CHASE ACH,Rent/Mortgage,,-1253.86
2025-03-19,FREE CHECKING,Transfer : Capital One,Uncategorized,,-119.82
2025-03-19,Capital One,State Farm Insurance,State Farm Insurance,,-116.54
2025-03-19,FREE CHECKING,Target,Split,,-58.82
2025-03-19,Capital One,FreeTaxUSA,Yearly Taxes,,-14.99
2025-03-19,Capital One,Transfer : FREE CHECKING,Uncategorized,,119.82
2025-03-19,FREE CHECKING,Venmo,Reimbursement - Family/Friends,Computer parts,500.0
2025-03-19,360 Performance Savings - 360 Performance Savings,Transfer : FREE CHECKING,Uncategorized,,5000.0
2025-03-20,Capital One,Micro Center,Reimbursement - Family/Friends,,-434.11
2025-03-20,FREE CHECKING,Transfer : Capital One,Uncategorized,,-131.53
2025-03-20,Capital One,Transfer : FREE CHECKING,Uncategorized,,131.53
2025-03-21,FREE CHECKING,Transfer : Capital One,Uncategorized,,-434.11
2025-03-21,FREE CHECKING,External Withdrawal - 466 MODERATE S 466 - INVESTMENT,Mutual Fund Investment,,-100.0
2025-03-21,FREE CHECKING,Xcel Energy,Electric - XCEL,,-91.56
2025-03-21,Capital One,Transfer : FREE CHECKING,Uncategorized,,434.11
2025-03-24,FREE CHECKING,Department of Education,Meagans Loan Payments,,-254.51
2025-03-24,Capital One,Aldi,Groceries,,-55.49
2025-03-24,Capital One,Coborn's Gas,Gas,,-33.86
2025-03-24,Capital One,Culver's,Eating Out / Takeout,,-15.15
2025-03-24,FREE CHECKING,Spotify,Spotify,,-12.99
2025-03-25,FREE CHECKING,Transfer : Capital One,Uncategorized,,-104.5
2025-03-25,Capital One,Amazon,Auto Maintenance,Motorcycle oil,-88.12
2025-03-25,Capital One,USPS,Reimbursement - Family/Friends,,-23.15
2025-03-25,Capital One,Hey Sunday,Household items,,-16.26
2025-03-25,Capital One,Culver's,Eating Out / Takeout,,-15.15
2025-03-25,Capital One,Transfer : FREE CHECKING,Uncategorized,,104.5
2025-03-27,360 Performance Savings - 360 Performance Savings,Transfer : Capital One,Uncategorized,,-142.68
2025-03-27,Capital One,Transfer : 360 Performance Savings - 360 Performance Savings,Uncategorized,,142.68
2025-03-27,FREE CHECKING,External Deposit - MN DEPT OF REVEN MN DEPT. OF REVENUE - MNSTTAXRFD,Inflow: Ready to Assign,,989.0
2025-03-28,Capital One,DataCamp,Yearly Subscriptions,,-179.06
2025-03-28,Capital One,Steam,Seth Spending,,-6.49
2025-03-28,FREE CHECKING,External Deposit - N8342 FLY FOR GO 208843589 - DIR DEP,Inflow: Ready to Assign,,1612.92
2025-03-29,Capital One,Oldenburg Brewing Co,Eating Out / Takeout,,-50.04
2025-03-31,Capital One,Sam's Club,Split,,-184.0
2025-03-31,FREE CHECKING,Transfer : Seth ROTH IRA,Inflow: Ready to Assign,,-133.24
2025-03-31,Capital One,Walmart,Split,,-38.11
2025-03-31,Capital One,OWL'S NEST CAFE,Eating Out / Takeout,,-7.71
2025-03-31,Capital One,Sam's Club,Eating Out / Takeout,,-5.42
2025-03-31,360 Performance Savings - 360 Performance Savings,Monthly Interest,HYSA,,76.36
2025-03-31,Seth ROTH IRA,Transfer : FREE CHECKING,Uncategorized,,133.24
2025-04-01,FREE CHECKING,Transfer : Capital One,Uncategorized,,-235.59
2025-04-01,FREE CHECKING,Transfer : Capital One,Uncategorized,,-235.24
2025-04-01,FREE CHECKING,Transfer : 360 Performance Savings - 360 Performance Savings,Uncategorized,,-100.0
2025-04-01,Capital One,Coborn's Gas,Gas,,-26.2
2025-04-01,Capital One,Domino's Pizza,Eating Out / Takeout,,-15.15
2025-04-01,360 Performance Savings - 360 Performance Savings,Transfer : FREE CHECKING,Uncategorized,,100.0
2025-04-01,Capital One,Transfer : FREE CHECKING,Uncategorized,,235.24
2025-04-01,Capital One,Transfer : FREE CHECKING,Uncategorized,,235.59
2025-04-02,FREE CHECKING,External Withdrawal - JPMORGAN CHASE JPMORGAN CHASE ACH - CHASE ACH,Rent/Mortgage,,-1253.85
2025-04-02,FREE CHECKING,CP Energy,Gas - CPEnergy,,-640.59
2025-04-02,Capital One,Waste Connections,Trash,,-98.8
2025-04-02,FREE CHECKING,Transfer : Capital One,Uncategorized,,-41.35
2025-04-02,Capital One,Transfer : FREE CHECKING,Uncategorized,,41.35
2025-04-02,FREE CHECKING,External Deposit - IRS TREAS 310 - TAX REF REF*PALM*KANSAS*12/2024*TAX REFUND*30\,Inflow: Ready to Assign,,3226.0
2025-04-03,Capital One,River Valley Church,Tithe,,-300.0
2025-04-04,FREE CHECKING,Transfer : Capital One,Uncategorized,,-98.8
2025-04-04,Capital One,Pets Best Insurance,Pet Expenses,,-72.0
2025-04-04,Capital One,Transfer : FREE CHECKING,Uncategorized,,98.8
2025-04-07,FREE CHECKING,Transfer : Capital One,Uncategorized,,-300.0
2025-04-07,Capital One,VE BLOOMINGTON,Rock Climbing Membership,,-119.93
2025-04-07,FREE CHECKING,Transfer : Capital One,Uncategorized,,-72.0
2025-04-07,Capital One,Fleet Farm Fuel,Gas,,-37.79
2025-04-07,Capital One,Cafe Zupa,Eating Out / Takeout,,-28.19
2025-04-07,FREE CHECKING,New York Life Insurance,Meagan's Life Insurance,,-16.0
2025-04-07,Capital One,Transfer : FREE CHECKING,Uncategorized,,72.0
2025-04-07,Capital One,Transfer : FREE CHECKING,Uncategorized,,300.0
2025-04-08,Capital One,CITY OF BELLE PLAINE UTI,Water,,-69.25
2025-04-08,FREE CHECKING,MetroNet,Internet,,-67.9
2025-04-08,Capital One,Kwik Trip,Eating Out / Takeout,,-15.46
2025-04-08,Capital One,CITY OF BELLE PLAINE UTI,Water,,-4.82
2025-04-09,FREE CHECKING,Transfer : Capital One,Uncategorized,,-275.44
2025-04-09,Capital One,Sam's Club,Split,,-57.89
2025-04-09,Capital One,Transfer : FREE CHECKING,Uncategorized,,275.44
2025-04-10,FREE CHECKING,Transfer : Capital One,Uncategorized,,-57.89
2025-04-10,Capital One,Transfer : FREE CHECKING,Uncategorized,,57.89
2025-04-11,Capital One,Amazon,Pet Expenses,,-70.53
2025-04-11,Capital One,Google,Meagan Spending,,-2.93
2025-04-11,FREE CHECKING,External Deposit - N8342 FLY FOR GO 208843589 - DIR DEP,Inflow: Ready to Assign,,1504.97
2025-04-12,Capital One,Coborn's Gas,Gas,,-31.78
2025-04-12,Capital One,Chick-fil-A,Eating Out / Takeout,,-10.41
2025-04-13,FREE CHECKING,Descriptive Deposit - Mobile Deposit,Inflow: Ready to Assign,,175.0
2025-04-14,FREE CHECKING,Transfer : Seth ROTH IRA,Inflow: Ready to Assign,,-133.24
2025-04-14,Capital One,Massage Envy,Meagan Spending,,-87.22
2025-04-14,Capital One,Aldi,Groceries,,-81.26
2025-04-14,FREE CHECKING,Transfer : Capital One,Uncategorized,,-73.46
2025-04-14,Capital One,Culver's,Eating Out / Takeout,,-15.8
2025-04-14,Capital One,Transfer : FREE CHECKING,Uncategorized,,73.46
2025-04-14,Seth ROTH IRA,Transfer : FREE CHECKING,Uncategorized,,133.24
2025-04-15,Capital One,Sam's Club,Groceries,,-90.78
2025-04-15,Capital One,The Home Depot,Home Maintenance,,-42.22
2025-04-15,Capital One,Prose,Meagan Spending,,-32.24
2025-04-15,Capital One,Massage Envy,Meagan Spending,,-20.0
2025-04-16,FREE CHECKING,External Withdrawal - JPMORGAN CHASE JPMORGAN CHASE ACH - CHASE ACH,Rent/Mortgage,,-1253.86
2025-04-16,FREE CHECKING,Transfer : Capital One,Uncategorized,,-226.47
2025-04-16,Capital One,Coborn's Gas,Gas,,-34.74
2025-04-16,Capital One,Transfer : FREE CHECKING,Uncategorized,,226.47
2025-04-17,FREE CHECKING,Transfer : Capital One,Uncategorized,,-185.24
2025-04-17,Capital One,State Farm Insurance,State Farm Insurance,,-116.54
2025-04-17,Capital One,Sam's Club,Yearly Subscriptions,,-110.0
2025-04-17,Capital One,Amazon,Meagan Spending,,-43.73
2025-04-17,Capital One,Coborn's,Alchohol,,-25.26
2025-04-17,Capital One,Transfer : FREE CHECKING,Uncategorized,,185.24
2025-04-18,FREE CHECKING,Transfer : Capital One,Uncategorized,,-330.27
2025-04-18,Capital One,TST*PEOPLES ORGANIC - ED,Meagan Spending,,-24.75
2025-04-18,Capital One,Steam,Seth Spending,,-9.74
2025-04-18,Capital One,Amazon,Meagan Spending,,-7.33
2025-04-18,Capital One,Transfer : FREE CHECKING,Uncategorized,,330.27
